iter	Passed	Remaining
0	1	132
1	2	125
2	3	118
3	4	108
4	5	101
5	6	95
6	6	90
7	7	87
8	8	84
9	9	82
10	10	81
11	10	80
12	11	78
13	12	76
14	13	75
15	13	73
16	14	71
17	15	69
18	15	67
19	16	67
20	17	65
21	18	63
22	18	62
23	19	61
24	20	61
25	21	61
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	27	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	48	36
57	49	36
58	50	35
59	51	34
60	52	33
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	76	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	85	0
99	86	0
